title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"Paris est magique\" : le PSG écrase le Barça au Parc des Princes"	L'essentiel Le Paris Saint-Germain a surclassé l'équipe du FC Barcelone, considérée comme l'une des meilleures du monde. Score final, 4 buts à 0, à domicile. Qui sont les principaux artisans de cette victoire ? Comment expliquer une telle démonstration de force ?  Ce reportage est issu du journal télévisé de 20h du 15 février 2017 présenté par Gilles Bouleau sur TF1. Vous retrouverez au programme du JT de 20h du 15/02/2017 des reportages sur l’actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	2	14	2017
"\"Paroles d'électeurs\" : avec un chef d'entreprise qui a fait faillite"	"Un chef d'une petite entreprise qui a fait faillite a accepté de témoigner pour \"Paroles d'électeurs\".Henri-Philippe Baptiste est un chef d'entreprise au parcours un peu chaotique. \"Comme 60 000 chefs d'entreprises par an en France, je suis tombé en faillite. Quand vous fermez une entreprise, déjà, cela dure un an et vous avez tous les problèmes qui vous tombent dessus. J’ai perdu mon logement, la banque a fermé mon compte\", explique Henri-Philippe Baptiste. Simplifier les démarches administratives Comment faire pour accompagner davantage le chef d'entreprise ? \"D'un point de vue administratif, on peut simplifier les choses\", assure Henri-Philippe Baptiste. Cette campagne présidentielle est un peu particulière, la suit-il ? \"Je n'ai pas vu de problèmes fondamentaux abordés. Notre pays aujourd'hui a besoin d'un rebond économique. Personne ne s'est engagé réellement à donner des solutions concrètes et pratiques. C'est difficile de faire choix\", indique le chef d'entreprise."	-	France 3	4	4	2017
"\"Que je t'aime\" au pied du sapin ? Pour Noël, les disques de Johnny Hallyday s'arrachent"	"Deux semaines après les obsèques bouleversantes de Johnny Hallyday, l'émotion se transforme en frénésie d'achat. Ses disques se vendent comme jamais.Dès l'entrée de ce magasin, il est omniprésent. Des albums de Johnny Hallyday par dizaines. Chez les disquaires, c'est la ruée. Ici, c'est cette compilation de 100 titres qui a le plus de succès. Johnny Hallyday est aujourd'hui numéro 1 des ventes en France. Depuis sa mort, le 5 décembre dernier, 700 000 disques tous supports confondus auraient été vendus. Des titres inédits dévoilés en 2018 Un phénomène commercial inédit selon François-Olivier Nologues, journaliste musical. \"Gilbert Bécaud, Yves Montand, Sacha Distel ou même encore Michel Delpech n'ont pas eu les mêmes scores de vente que Johnny Hallyday. Il y a un véritable mouvement symbolique intergénérationnel, où entre Noël, son décès et sa musique, il y a quelque chose qui emmène le peuple vers cet acte d'achat, qui est assez rare aujourd'hui\", explique-t-il. Ces derniers mois, Johnny avait enregistré chez lui dix titres inédits. L'album qui sortira en 2018 pourrait à nouveau battre tous les records."	Elsa Pallot	France 2	12	23	2017
"\"Rêves de Gosse\" : des enfants handicapés découvrent l'apesanteur"	"\"Rêves de Gosse\" est une campagne réalisée par une association qui réalise les rêves d'enfants handicapés ou malades. Cette fois, ce sont les astronautes de l'agence spatiale européenne qui les ont emmenés à bord de l'un de leurs Airbus.Des enfants handicapés découvrent l'apesanteur grâce à la campagne \"Rêves de Gosse\". Il a suffi du signal du pilote et soudain la gravité s'efface. L’apesanteur prend place. Quelques secondes de légèreté. Une parenthèse enchantée dans un quotidien où le corps est souvent difficile à gérer. Pour flotter loin de leurs fauteuils roulants, il ont été accompagnés par les plus grands astronautes européens. Claudie Haigneré ou Jean-François Clervoy sont aux petits soins. La légèreté s'empare de leurs êtres \"La tendance naturelle constatée pour tout nouveau passager qui ne sent plus son poids c'est de battre des bras, des jambes... 'Il faut que je me rattrape'. Donc essaie de te laisser aller, on s'occupe de toi\", explique Jean-François Clervoy à une participante. L’astronaute va tellement s'occuper d'elle que la légèreté va s'emparer de tout son être, détendre son visage, lui permettre les plus grandes audaces. À ce moment leurs corps touchés par la maladie n'est plus un fardeau."	Pierre-Yves Grenu	France 3	8	25	2017
"\"Satisfaction\" : l'histoire d'un titre de légende"	"C'est un tube qui a fait danser des générations d'adolescents. \"Satisfaction\" des Rolling Stones est sorti en 1965.Ce sont les notes les plus célèbres du monde. Trois accords de génie repris dans tous les styles, à tous les tempos, dans tous les pays et depuis plus de 50 ans. Comment trois accords pour débutants ont-ils fait d'un groupe de rock des stars planétaires ? Satisfaction est une mélodie venue d'une insomnie. Keith Richards attrape sa guitare sèche et déclenche son magnétophone. Une chanson devenue un hymne Au départ, il imagine ce thème joué par des cuivres, mais au studio d'enregistrement on lui présente un petit accessoire qui dégrade le son, une révélation. Le rock en colère vient de naître sur la guitare de Keith Richards. C'est désormais à Mick Jagger d'en faire une chanson. Dans ces années 60, la jeunesse anglo-saxonne veut plus de liberté et dénonce les diktats de la société. La même colère a déjà été chantée par deux idoles des Rolling Stones : Chuck Berry et Muddy Waters. Une chanson devenue un hymne."	Elsa Pallot	France 2	10	19	2017
"\"Satisfait\", \"soulagé\", \"vigilant\" : le sentiment des Français au lendemain de l’élection"	L'essentiel ATTENTES - 35 millions de Français ont voté dimanche 7 mai. Mais au lendemain du second tour de la présidentielle, ce sont plus de 67 millions qui se sont réveillés avec un nouveau Président. TF1 a décidé de donner la parole aux Français. Qu’ont-ils pensé de l’élection ? Qu’attendent-ils du nouveau Président ? Quelles mesures leurs tiennes à cœur ?  Ce reportage est issu du journal télévisé de 20h du 8 mai 2017 présenté par Gilles Bouleau sur TF1. Vous retrouverez au programme du JT de 20h du 08/05/2017 des reportages sur l’actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	5	7	2017
"\"Seper hero\" : le voyage d'une jeune fille malgré la maladie"	"Ce mercredi 31 mai est la journée mondiale de la sclérose en plaques. À cette occasion, France 2 reçoit Marine Barnérias. Diagnostiquée à l'âge de 21 ans, elle a choisi de refuser tout traitement et de partir en voyage dans le monde.Marine Barnérias raconte son histoire dans un livre intitulé Seper Hero. France 2 l'a invité à l'occasion de la journée mondiale de la sclérose en plaques ce mercredi 31 mai. Diagnostiquée à l'âge de 21 ans, elle a choisi de refuser tout traitement et de partir en voyage autour du monde. Ce voyage est raconté dans son livre qui est à la fois émouvant et drôle. \"Quand cette petite maladie est arrivée, ça a été une renaissance. C'est comme si je renaissais avec un intrus qui venait d'arriver\", confie la jeune femme. \"On a une force à l'intérieur qui est incroyable\" Après avoir refusé de suivre tout traitement, Marine Barnérias a choisi de voyager : Nouvelle-Zélande, Birmanie, la Mongolie. \"J'avais vraiment besoin de retrouver cet équilibre intérieur\", explique la jeune femme. Un voyage fait de belles rencontres. \"On a tous une force en nous qu'on oublie quand on est atteint de quelque chose\", assure Marine Barnérias. La jeune femme atteinte de sclérose en plaques a un message : \"Quand quelque chose nous arrive dans la vie, avant d'aller chercher la solution à l'extérieur, on a une force à l'intérieur qui est incroyable\", conclut-elle optimiste."	Thomas Horeau	France 2	5	31	2017
"\"Seuls\" : zoom sur la BD adaptée au cinéma"	"L'essentiel Après la BD, \"Seuls\" est adapté sur le grand écran. Le long-métrage raconte les aventures de 5 jeunes livrés à eux même dans une ville déserte, restant fidèle à l’âme de l’ouvrage pour le plus grand plaisir des adolescents.  Ce reportage est issu du journal télévisé de 20h du 07 février 2017 présenté par Julien Arnaud sur TF1. Vous retrouverez au programme du JT de 20h du 07/02/2017 des reportages sur l’actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	2	6	2017
"\"Silence, on lit !\" : l’initiative d’un collège de Metz qui redonne le goût des livres"	L'essentiel ÉDUCATION - Tous les jours, élèves, professeurs et personnels de l’administration arrête tout ce qu’il faut pour se plonger dans un quart d’heure de lecture. Une pause qui a pour objectif de réconcilier les jeunes avec la littérature.  Ce reportage est issu du journal télévisé de 20h du 2 octobre 2017 présenté par Gilles Bouleau sur TF1. Vous retrouverez au programme du JT de 20h du 02/10/2017 des sujets sur l’actualité, des reportages en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	10	1	2017
"\"Songe d'une nuit d'été\" à l'opéra Bastille : dans les coulisses du ballet"	"Dans le ballet \"Songe d'une nuit d'été\", de Shakespeare, à l'opéra Bastille, Christian Lacroix a signé les costumes de ce spectacle. Le couturier et l'opéra de Paris ont ouvert les coulisses à l'une des équipes de France 3.Inspiré d'une pièce de Shakespeare, le Songe d'une nuit d'été est un ballet féérique. 55 ans après sa création à New York, l'opéra de Paris ajoute ce joyau à sa collection. Et c'est le couturier Christian Lacroix qui signe les costumes et les décors. Au Palais Garnier, un mois avant la première, c'est l'effervescence dans les ateliers couture. 200 costumes 200 costumes sont en fabrication. Christian Lacroix, qui les a tous dessinés, supervise un essayage. Depuis dix ans, l'Arlésien est passé avec bonheur de la haute couture au costume de scène. \"Je me sens un peu comme à la maison ici\", confie le couturier. \"C'est une manière de travailler qui est très particulière parce qu'on doit être fidèle aux maquettes de l'origine. Donc j'ai dessiné ma vision d'un balai qui existe, ce n'est pas une création\". Le couturier a même dû envoyer tous ses croquis à New York, au Trust Balanchine. Cette société gère l'héritage du chorégraphe qui a créé le ballet en 1962, et doit valider chaque costume."	Philippe Denis	France 3	3	15	2017
"\"Testé et approuvé par les seniors\" : un nouveau label adapté aux plus de 60 ans"	"\"Testé et approuvé par les seniors\" : voici un nouveau label qui permet d'identifier les produits adaptés aux plus de 60 ans, plus lisibles et plus faciles à manier.Hervé Lassalas a 70 ans. Retraité depuis une dizaine d'années, il n'en demeure pas moins très actif. Aujourd'hui, il a rendez-vous au Medef. Il participe à un jury chargé de juger le projet de jeunes entrepreneurs. Pour gérer cet emploi du temps très chargé, il vient d'acquérir un smartphone bien adapté à ses besoins, spécialement conçu pour les seniors, avec une ergonomie simplifiée, plus lisible. Treize critères liés au vieillissement C'est dans ce laboratoire de Niort (Deux-Sèvres) unique en France que son téléphone a en fait décroché le label \"Testé et approuvé par les seniors\". Ici, divers produits sont expérimentés par des volontaires de plus de 60 ans. Aujourd'hui, c'est Michel Bénard qui joue les cobayes dans un appartement reconstitué. Il doit tester ce réhausseur de prises. Et notre testeur du jour semble séduit par ce nouveau produit. Les tests se déroulent sous les yeux attentifs de deux ergonomes, qui notent le comportement du cobaye pendant toute la séance, et recueillent ensuite ses commentaires. Ils évaluent alors les objets selon treize critères liés au vieillissement."	Philippe Denis	France 3	4	19	2017
"\"Train de campagne\" : quelles préoccupations politiques à Hayange, en Moselle ?"	"\"Train de campagne\" donne la parole aux Français à travers toute la France. Cette semaine, les caméras de France 3 se sont rendues à Hayange, en Moselle.Cette semaine, \"Train de campagne\" fait escale à Hayange en Moselle, une commune de 15 000 habitants qui a choisi François Hollande en 2012 avant d'élire un maire Front national en 2014. C'est l'une de ces villes où le vote bascule. Hayange est le berceau de la sidérurgie lorraine. L'industrie en déclin demeure le mot d'ordre de l'économie. Ici, le chômage est supérieur à la moyenne nationale. Alors quelles sont les attentes des habitants pour la prochaine présidentielle ? L'économie au coeur des préoccupations Au marché d'Hayange, ce jour-là, c'est l'affluence : Martine et Gérard sont fonctionnaires. Ils travaillent au Centre Des Finances Publiques. \"Le thème qui me préoccupe le plus est l'économie\" confie Gérard. \"Nous sommes dans un milieu où ma foi, nous avons vu les emplois se précariser, disparaître, la charge de travail a été augmentée. Nous vivons tous les jours ce manque de fonctionnaires qui entrave notre capacité d'action\", estime-t-il."	Pierre-Yves Grenu	France 3	3	27	2017
"\"Tu m'aimes, tu me respectes\", le nouveau slogan contre les violences sexuelles"	"Cette campagne, destinée aux adolescents, a pour but de les aider à reconnaître les violences sexuelles, afin de mieux les refuser et les dénoncer. Elle a été lancée en Ile-de-France.La région Île-de-France a lancé une campagne de sensibilisation contre les violences sexuelles, ce lundi 13 novembre. Intitulée \"Tu m'aimes, tu me respectes\", cette campagne a pour but d'aider les adolescents à reconnaître les violences sexuelles, afin de mieux les refuser et les dénoncer. Selon une étude, 16% des agressions sexuelles surviennent vers l'âge de 16 ans. Faire la différence entre amour et jalousie Certains clichés ont notamment la vie dure : plus de 70% des adolescents confondent l'amour avec la possessivité. \"La jalousie n'est pas un sentiment de preuve d'amour, c'est quelque chose qui peut détruire quelqu'un\", rappelle Marie-Pierre Badré, présidente du centre Hubertine Auclert. Le slogan \"Tu m'aimes, tu me respectes\" est valable pour les adolescents, mais également pour les adultes."	Pierre-Yves Grenu	France 3	11	13	2017
"\"Un cyclone arrive ce soir !\" : un pompier alerte des habitants de Saint-Martin en larmes"	"Devant les caméras de France 3, un pompier a annoncé aux habitants l'arrivée d'un nouvel ouragan, après le passage d'Irma.\"Allez vous protéger !\" Sur l'île de Saint-Martin, c'est la course contre la montre, samedi 9 septembre. A peine sortis de l'ouragan Irma, les habitants se préparent à l'arrivée de José. Sur place, les pompiers et les forces de l'ordre somment la population de se mettre à l'abri. \"Un cyclone arrive ce soir !\", crie à la foule un pompier, filmé par les caméras de France 3. \"Force 4, il passe sur nous\", précise l'homme devant des habitants désemparés. \"Oh non, c'est pas vrai\", s'écrie une résidente de Saint-Martin, tandis que son enfant s'effondre en pleurs. > Suivez dans notre direct l'évolution de l'ouragan José L'ouragan, rehaussé en niveau 4, devrait passer dans la nuit de samedi à dimanche, heure de Paris, à 100 km au nord de Saint-Martin, déjà détruite à 95% par Irma. Le passage de José entraînera \"de la houle avec des creux de 5 à 7 mètres, de fortes pluies orageuses et des rafales de vent allant jusqu'à 130 à 150 km/h\", a indiqué Météo France."	Thomas Horeau	France 2	9	9	2017
"\"Une nouvelle saison commence !\" : une station de ski pyrénéenne ouvre dès ce samedi"	Avis aux amateurs de glisse ! En raison de l’afflux de neige, la première station de ski pyrénéenne a ouvert ce samedi. Il s'agit du Porté-Puymorens situé dans les Pyrénées-Orientales. Une ouverture symbolique puisque seule une piste est praticable.  Ce reportage est issu du journal télévisé de 13h du 11 novembre 2017 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 13h du 11/11/2017 des sujets sur l’actualité, des reportages en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	11	11	2017
"\"Veiller sur mes parents\" : La Poste facilite le maintien à domicile des personnes âgées"	"Les facteurs font partie des rares personnes à avoir accès à votre porte, un privilège que La Poste veut désormais capitaliser. Désormais, les facteurs peuvent ainsi rendre visite aux personnes âgées pour veiller sur elles, rompre la solitude, et rassurer les familles.Comme chaque facteur, Claudette Noé passe tous les jours apporter le courrier. Mais depuis quelques semaines, quand elle arrive chez Esther, 87 ans, elle a une petite série de questions à lui poser : \"Vous allez bien ? Vous avez besoin de courses, médecin ?\", lui demande Claudette. Une fois toutes les réponses validées, il n'y a plus qu'à signer, et la famille d'Esther sera prévenue par mail ou SMS que tout va bien pour aujourd'hui. Le service \"Veiller sur mes parents\" apporte une réponse à l'éloignement des familles. Avec ce nouveau service, le facteur, tout proche, peut donner l'alerte. De une à six visites hebdomadaires Les contrats varient d’une à six visites hebdomadaires, facturées de 40 à 140 euros mensuels. Leur intérêt : la régularité. \"On a nos habitudes, à voir régulièrement les mêmes personnes\", confie Claudette. En outre, comme l'explique Anne-Marie Jean, déléguée territoriale du groupe La Poste, \"Le courrier est en baisse. C'est donc important pour nous pour pérenniser le métier de facteur que de pouvoir l'élargir à d'autres formes d'activités\". Le service a aussi vocation à maintenir les personnes âgées à leur domicile plus longtemps."	Pierre-Yves Grenu	France 3	5	10	2017
"\"Visages, villages\" : deux ans de voyages avec Agnès Varda et JR"	Le documentaire d'Agnès Varda et du photographe JR sort en salles le 28 juin.Un demi-siècle les sépare, elle la cinéaste de renom, Agnès Varda, icône de la nouvelle vague, lui, JR, le plasticien, qui enchante les murs des villes avec ses fresques et ses collages. Leur rencontre tenait de l'évidence : une passion commune pour la photo et cet amour des autres, guidé par le hasard. Pendant deux ans, ils ont donc sillonné la campagne à bord de ce drôle de camion, pour le documentaire Visages, villages, qui sort au cinéma le 28 juin. Immortaliser en grand des centaines de visages Ils ont immortalisé, en grand, des centaines de visages en noir et blanc, sur des murs, des façades, des monuments. Au hasard des rencontres comme avec ce facteur débonnaire, les ouvriers d'une usine ou Janine, l'irréductible, dernière habitante d'une cité du Nord, vouée à la destruction. Sa détermination a beaucoup touché Agnès Varda. Les deux artistes ont pris le temps d'écouter, de regarder.	Pierre-Yves Grenu	France 3	6	26	2017
"\"À moi les petits français !\" : la déclaration d'amour d'une Anglaise à la France"	"Louise Ekland est l'invitée du 13H de ce mardi 9 mai. L'animatrice anglaise vivant en France depuis 16 ans vient présenter son livre intitulé \"À moi les petits français !\".Ce mardi 9 mai, Louise Ekland est l'invitée du 13H. L'animatrice anglaise vivant en France depuis 16 ans vient présenter son livre intitulé \"À moi les petits français !\". \"C'est un vrai cri d'amour à la France et aux Français\", confie Louise Ekland. Elle ajoute qu'elle a été accueillie les bras ouverts par ce pays. \"Je me suis dit qu'il fallait que je le rende à la France\", explique l'animatrice. \"C'est un pays de partage\" Louise Ekland salue ainsi les vins français, notre gastronomie, notre système de santé, mais aussi notre art de vivre. \"On se retrouve dans les dîners avec les amis, c'est le débat. Il y a une sorte de liberté d'expression. C'est un partage tout le temps\", souligne la Française d'adoption depuis 16 années. Elle parle aussi des défauts des Français qui râlent beaucoup et travaillent peu même si c'est le positif qui l'emporte. \"C'est un pays de partage et je voulais saluer ça\", conclut Louise Ekland."	Thomas Horeau	France 2	5	9	2017
"\"Édouard, mon pote de droite\" : le documentaire à voir sur Édouard Philippe"	"Le réalisateur Laurent Cibien a réalisé un documentaire intitulé \"Édouard, mon pote de droite\", un portrait sur le nouveau Premier ministre Édouard Philippe. Il sera diffusé ce mardi 16 mai à 23h10 sur France 3.La nomination du maire du Havre (Seine-Maritime), à Matignon, fait beaucoup parler la presse régionale. Cependant, peu de monde connaît le nouveau locataire de Matignon. Son camarade d'école a réalisé un documentaire sur le nouveau Premier ministre. Un portrait intime et étonnant qui permet de mieux cerner la personnalité d'Édouard Philippe. Laurent Cibien a suivi son \"pote de droite\" pendant trois mois durant la campagne des municipales en 2014. L'ami \"gauchiste\" du nouveau Premier ministre réalisera un documentaire de 1h26 minutes en 36 jours. \"Une réflexion sur le pouvoir\" Édouard, mon pote de droite, est une \"réflexion sur le pouvoir\". À noter que le film a bénéficié d'une sortie en salles le 23 mars 2016. Laurent Cibien et Édouard Philippe ont été élèves ensemble au lycée Janson-de-Sailly, en Khâgne, en 1989-1990. Si l’un, de gauche, et l’autre, de droite, se sont perdus de vue, ils ont renoué en 2004 à l’initiative du journaliste."	Pierre-Yves Grenu	France 3	5	16	2017
"\"Ôtez-moi d'un doute\", une nouvelle comédie poignante avec François Damiens et Cécile de France"	"CINÉMA - Deux acteurs belges à l'affiche d'un film français. \"Ôtez-moi d'un doute\", de la réalisatrice Carine Tardieu, sort mercredi 6 septembre au cinéma. Une comédie poignante, qui suit un couple, secoué par une annonce : le père d'un des personnages, n'est pas son géniteur.  Ce reportage est issu du journal télévisé de 13h du 3 septembre 2017 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 13h du 03/09/2017 des sujets sur l’actualité, des reportages en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	9	3	2017
11-Novembre : Emmanuel Macron aux côtés des pupilles de la nation	"En direct des Champs-Élysées, le journaliste de France 2 Guillaume Daret revient sur cette matinée de commémorations.Emmanuel Macron commémore pour la première fois ce samedi 11 novembre l'Armistice. Après avoir rallumé la flamme du Soldat inconnu sous l'Arc de Triomphe, les cérémonies se poursuivent désormais à l'Élysée. \"Le président de la République reçoit des pupilles de la nation. Des pupilles de la nation qui fêtent leurs 100 ans, puisque ce statut a été créé en 1917. Il a d'ailleurs pu un peu échanger avec ces pupilles puisque certaines assistaient à cette cérémonie du 11-Novembre\", rapporte le journaliste de France 2 Guillaume Daret. 80 pays conviés en 2018 Si la cérémonie a été plutôt traditionnelle, celle de 2018 sera particulière. \"En 2018, on célèbrera les 100 ans de la fin de ce premier conflit mondial et Emmanuel Macron souhaite convier tous les pays qui ont participé à cette guerre, près de 80 pays, pour une rencontre placée sous le signe de la réconciliation et du projet européen\", détaille le journaliste, en direct des Champs-Élysées."	Thomas Horeau	France 2	11	11	2017
"14-Juillet : Macron \"fait jeu égal\" avec Trump"	"En direct de la place de la Concorde à Paris, Julien Gasparutto explique les enjeux de la venue de Donald Trump au défilé de la fête nationale.Un 14-Juillet pour célébrer l’amitié franco-américaine malgré les récentes tensions notamment sur le climat. Cette cérémonie avait une dimension très politique. Emmanuel Macron souhaitait resserrer les liens avec Donald Trump, y est-il parvenu ? \"Ce matin encore, l’heure était aux sourires et aux accolades. La participation de Donald Trump au défilé clôt une visite diplomatique de 24 heures\", indique Julien Gasparutto, en direct de la place de la Concorde. Se distinguer à l’international Depuis le 13 juillet, les deux présidents n’ont eu de cesse d’échanger des paroles et des gestes très amicaux. \"Pas sûr que cela suffise pour que Donald Trump revoit sa position sur le climat mais le président américain a déclaré que 'quelque chose pourrait se passer'. Cette séquence a en tout cas permis à Emmanuel Macron de se distinguer sur la scène internationale en faisant jeu égal avec son homologue américain\", ajoute le journaliste."	Pierre-Yves Grenu	France 3	7	14	2017
14-Juillet : ces chars ont 100 ans	"Des chars, les plus anciens de l’armée française, défileront pour le 14-Juillet sur les Champs-Élysées.À gauche, un fleuron de l’armée française, le char Leclerc. À droite, le Saint-Chamond, son ancêtre, l’un des premiers blindés de l’histoire militaire. Pour la première fois, huit engins vont défiler ensemble. Des chars Schneider, des ambulances : tous ont combattu sur les champs de bataille de 1916 à 1918. \"On ressort la mémoire mécanique de la France\" Dès cinq heures ce mercredi 12 juillet, les répétitions ont commencé car pour le grand jour, tout doit être réglé au millimètre. Alain Galland est le propriétaire de ce canon d’époque, qui va défiler. \"C’est la première fois et je trouve que c’est très bien. Au moins, on ressort la mémoire mécanique de la France\", assure-t-il. Ce collectionneur fêtera ses 71 ans le 14 juillet, sa femme l’a accompagné pour ces répétitions. L’occasion pour ces passionnés de l’armée de montrer 100 ans de technologie."	Thomas Horeau	France 2	7	12	2017
14-Juillet : la sécurité renforcée à Paris	"Le 14-Juillet sera malgré tout célébré dans de nombreuses villes et notamment à Paris. Au programme des feux d'artifice et un concert géant. Clément Le Goff est en direct du Trocadéro (Paris).Le dispositif sera important aux abords de la tour Eiffel pour ce 14-Juillet. \"Sécurité maximale, ce soir, au pied de la tour Eiffel. Depuis ce matin, 11 000 policiers et gendarmes sont mobilisés dans la capitale. Ici, ce soir, ils sont 2 000 forces de l'ordre présentes pour ces festivités, pour le feu d'artifice et le concert juste avant. Et cela dans un tout petit périmètre qui s'étend du Trocadéro jusqu'aux Champ-de-Mars juste derrière la Seine et la tour Eiffel\", explique Clément Le Goff. Installation de plots en béton Tout autour des plots en béton ont été installés pour éviter toute intrusion. \"Les contrôles d'identité, les fouilles des sacs sont systématiques. Sécurité renforcée pour ces festivités après trois attentats dans la capitale ces dernières semaines\", conclut le journaliste."	Elsa Pallot	France 2	7	14	2017
14-Juillet : la venue de Donald Trump divise	"La présence de Donald Trump lors du défilé du 14-Juillet ne fait pas l'unanimité auprès des Parisiens.Le drapeau américain au côté du drapeau français : pour la venue de Donald Trump, cette kiosquière a préparé sa boutique souvenir. \"On les a achetés pour l'occasion parce que ça n'arrive pas souvent les grands personnages comme ça\", explique-t-elle. Les avis sont partagés Si beaucoup de Parisiens approuvent l'invitation d'Emmanuel Macron au président américain, certains pensent tout de même que Donald Trump n'a pas sa place sur les Champs-Elysées. \"J'ai du mal à comprendre l'invitation d'Emmanuel Macron qui convie Donald Trump à venir fêter notre fête nationale, surtout depuis qu'il est sorti du protocole établi par la COP 21\", explique un passant. \"À mon avis il y a aussi une volonté de discuter des sujets et pourquoi pas des sujets qui fâchent\", ajoute une autre personne. Parmi les touristes américains présents à Paris, les avis divergent aussi."	Thomas Horeau	France 2	7	13	2017
14-Juillet : un bataillon de douaniers au défilé	"Vendredi 14-Juillet, pour la deuxième fois, un bataillon de douaniers participera au défilé.Ils ont investi les Champs-Élysées dès cinq heures ce mercredi 12 juillet au matin. Une répétition grandeur nature. Parmi les hommes et les femmes du bataillon qui défilera le 14-Juillet, Laurine, 18 ans. Pour elle, c'est une première : \"Le jour J approche et on est tous fiers d'être ici. Et être sur les Champs-Élysées, comme ça, quand il fait encore nuit, c'est magnifique\", s'enthousiasme la jeune femme. Cinquante agents triés sur le volet Les douaniers répètent le défilé depuis plusieurs jours dans le camp militaire de Satory (Yvelines). Ils sont cinquante agents, triés sur le volet. \"Il fallait être beau, porter sur le visage la fierté d'appartenir à la douane, être motivé, et avoir une bonne condition physique\", détaille Pierre Rideau, directeur de l'école nationale des douanes de La Rochelle. La lutte antiterroriste est aujourd'hui l'une des priorités des agents de la douane. Depuis 2016, 1 000 agents supplémentaires ont été recrutés. Pour eux, ce 14-Juillet est une expérience qui va les marquer; un souvenir qu'ils garderont de nombreuses années."	Pierre-Yves Grenu	France 3	7	12	2017
18 mois de prison avec sursis pour le professeur qui a eu une liaison avec une collégienne de 14 ans	"Le professeur qui avait entretenu une relation avec une collégienne de 14 ans a été condamné à de la prison avec sursis.Dans les bras de sa grand-mère, Émilie tente de trouver du soutien. À 14 ans, l'adolescente semble désorientée par ce procès. Face à elle aujourd'hui, son ancien professeur de mathématiques. Ensemble, ils ont eu une liaison. Émilie a longtemps évoqué une relation consentie, mais aujourd'hui, elle fait volte-face et parle d'une relation forcée. 18 mois de prison avec sursis \"J'ai pris du recul, j'ai regardé les choses sous un autre angle, et j'ai parlé de choses que je n'avais pas dites. Et en parler à ma mère, ça m'a permis de remettre les pieds sur terre\", explique la jeune fille à visage masqué. Devant les juges, son ancien professeur a reconnu avoir complètement dérapé. L'affaire débute dans le collège Fernand Gregh en février 2016 ; Émilie est alors en 4e. C'est elle qui entre en contact avec son professeur via les réseaux sociaux, lui confiant ses sentiments. Dans un premier temps, l'enseignant garde ses distances, puis craque. Le professeur de 31 ans vient d'être condamné à 18 mois de prison avec sursis, et deux ans de mise à l'épreuve."	Philippe Denis	France 3	11	27	2017
1er mai : bien choisir son brin de muguet	"En ce 1er mai, le muguet est l'incontournable du jour.Le muguet fleurit et parfume Marseille (Bouches-du-Rhône) en ce 1er mai, et il en faut pour tout le monde : \"Il y en a un pour ma femme, un pour ma belle-mère, un pour ma belle soeur et un pour ma tantine\", détaille un homme les bras chargés de bouquets. Un peu partout autour des fleuristes et vendeurs occasionnels butinent les clients qui confèrent à ce bouquet une portée hautement symbolique. Pour cette femme, \"c'est un très beau symbole du printemps, du renouveau, des beaux jours.\" Un bon cru 2017 Et sous le soleil marseillais, les clochettes 2017 sont paraît-il particulièrement coquettes : \"Le muguet cette année est magnifique. Il a tout d'abord de très grosses clochettes, et ensuite, on voit encore des clochettes qui sont fermées\", observe un vendeur. Sur les étals, il y a le brin traditionnel bien sûr, mais le muguet se décline aussi sous toutes ses formes : \"J'ai pris des petits brins et une composition un peu plus complète pour ma maman\", explique une cliente. Comme le veut la tradition, pour \"en mai faire comme il nous plait\", cela commence par un brin de muguet."	Thomas Horeau	France 2	5	1	2017
